[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 263 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:263 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 559 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:559 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 78 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:78 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 182 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:182 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 55 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:55 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 239 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:239 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 119 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:119 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 191 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:191 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 231 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:231 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 391 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:391 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 230 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:230 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 695 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:695 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 471 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:471 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 558 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:558 
